Port,Latitude,Longitude
 Cotabato Mindanao ,124.2463900000000,7.2236100000000
 Dumaguete ,123.3026100000000,9.3072200000000
 Manila ,120.9822000000000,14.6042000000000
 Ozamis Mindanao ,123.8405000000000,8.1481000000000
 Polloc ,124.2208800000000,7.3534000000000
 Puerto Princesa Palawan ,118.7352800000000,9.7391700000000
 Subic Bay ,120.2798700000000,14.7889900000000
 Tagbilaran Bohol ,123.8521900000000,9.6555600000000
 Zamboanga ,122.0738900000000,6.9102800000000
 Gwadar ,62.3254100000000,25.1216300000000
 Karachi ,67.0104000000000,24.8608000000000
 Gdansk ,18.6491200000000,54.3522700000000
 Szczecin ,14.5530200000000,53.4289400000000
 Arkhangelsk ,40.5433000000000,64.5401000000000
 Dudinka ,86.1777800000000,69.4058300000000
 Kaliningrad ,20.5109500000000,54.7064900000000
 Korsakov ,142.7772200000000,46.6342000000000
 Magadan ,150.8034700000000,59.5638000000000
 Petropavlovsk-Kamchatskiy ,158.6507600000000,53.0444400000000
 Vladivostok ,131.8735300000000,43.1056200000000
 Jubail ,49.6225100000000,27.0174000000000
 Port Victoria ,55.4550100000000,-4.6200100000000
 Port Sudan ,37.2164400000000,19.6174500000000
 Singapore ,103.8500700000000,1.2896700000000
 Koper ,13.7294400000000,45.5469400000000
 Freetown ,-13.2356000000000,8.4871400000000
 Dakar ,-17.4440600000000,14.6937000000000
 Berbera ,45.0143200000000,10.4395900000000
 Kismayu ,42.5453600000000,-0.3581700000000
 Mogadishu ,45.3437500000000,2.0371100000000
 Paramaribo ,-55.1668200000000,5.8663800000000
 Paramaribo ,-55.1668200000000,5.8663800000000
 Acajutla ,-89.8275000000000,13.5927800000000
 San Salvador ,-89.1871800000000,13.6893500000000
 Lome ,1.2215400000000,6.1287400000000
 Sriracha ,100.9311100000000,13.1737200000000
 Bizerte ,9.8739100000000,37.2744200000000
 Sfax ,10.7602800000000,34.7405600000000
 Sousse ,10.6369900000000,35.8253900000000
 Tunis ,10.1657900000000,36.8189700000000
 Aliaga ,26.9720300000000,38.7997500000000
 Derince ,29.8147200000000,40.7569400000000
 Haydarpasa ,29.0245900000000,40.9959600000000
 Yarimca ,31.1419400000000,39.0836100000000
 Montevideo ,-56.1881600000000,-34.9032800000000
 Port Vila ,168.3136600000000,-17.7364800000000
 Santo ,167.1623500000000,-15.5198900000000
 Apia ,-171.7666600000000,-13.8333300000000
 Aden ,45.0366700000000,12.7794400000000
 Mukalla ,49.1242400000000,14.5424800000000
 East London ,27.9116200000000,-33.0152900000000
 Port Elizabeth ,25.6149400000000,-33.9610900000000
 Richards Bay ,32.0376800000000,-28.7830100000000
