,Country,Year, Quantity in Millions _x,Investment_Totals,Counts,Month,Chinese Entity, Quantity in Millions _y,Share size,Transaction Party,Sector,Subsector,Region,BRI,Iso_alpha,Investment_Count
304,Kazakhstan,2015,5710,9,24,February,China Railway Engineering,150,,,Metals,Unspecified,West Asia,1,KAZ,1
330,Kenya,2015,830,4,29,August,Sinoma,290,,Dangote,Real estate,Construction,Sub-Saharan Africa,1,KEN,1
331,Kenya,2015,830,4,29,May,Power Construction Corp,130,,Aperture Green Power,Energy,Alternative,Sub-Saharan Africa,1,KEN,1
332,Kenya,2015,830,4,29,May,CITIC,120,80%,International Finance Corporation,Real estate,Property,Sub-Saharan Africa,1,KEN,1
267,Kuwait,2015,2510,5,20,November,Power Construction Corp,110,,,Transport,Autos,Arab Middle East and North Africa,1,KWT,1
284,Kuwait,2015,2510,5,20,April,State Construction Engineering,460,,,Other,Education,Arab Middle East and North Africa,1,KWT,1
286,Kuwait,2015,2510,5,20,October,Sinopec,1700,40%,Kuwait National Petroleum,Energy,Oil,Arab Middle East and North Africa,1,KWT,1
279,Kyrgyzstan,2015,4340,8,8,April,China Communications Construction,400,,,Transport,Autos,West Asia,1,KGZ,1
280,Kyrgyzstan,2015,4340,8,8,January,Zijin Mining,150,60%,Kyrgyzaltyn,Metals,Unspecified,West Asia,1,KGZ,1
254,Laos,2015,4580,14,37,May,Sinomach,480,,Electricite du Laos,Energy,Unspecified,East Asia,1,LAO,1
