Port,Longitude,Latitude
 Cagayan de Oro Mindanao ,8.48222,124.64722
 Cebu ,10.31672,123.89071
 Cotabato Mindanao ,7.22361,124.24639
 Dumaguete ,9.30722,123.30261
 Manila ,14.6042,120.9822
 Ozamis Mindanao ,8.1481,123.8405
 Polloc ,7.3534,124.22088
 Puerto Princesa Palawan ,9.73917,118.73528
 Subic Bay ,14.78899,120.27987
 Tagbilaran Bohol ,9.65556,123.85219
 Zamboanga ,6.91028,122.07389
 Gwadar ,25.12163,62.32541
 Karachi ,24.8608,67.0104
 Gdansk ,54.35227,18.64912
 Szczecin ,53.42894,14.55302
 Arkhangelsk ,64.5401,40.5433
 Dudinka ,69.40583,86.17778
 Kaliningrad ,54.70649,20.51095
 Korsakov ,46.6342,142.77722
 Magadan ,59.5638,150.80347
 Petropavlovsk-Kamchatskiy ,53.04444,158.65076
 Vladivostok ,43.10562,131.87353
 Jubail ,27.0174,49.62251
 Port Victoria ,-4.62001,55.45501
 Port Sudan ,19.61745,37.21644
 Singapore ,1.28967,103.85007
 Koper ,45.54694,13.72944
 Freetown ,8.48714,-13.2356
 Dakar ,14.6937,-17.44406
 Berbera ,10.43959,45.01432
 Kismayu ,-0.35817,42.54536
 Mogadishu ,2.03711,45.34375
 Paramaribo ,5.86638,-55.16682
 Paramaribo ,5.86638,-55.16682
 Acajutla ,13.59278,-89.8275
 San Salvador ,13.68935,-89.18718
 Lome ,6.12874,1.22154
 Sriracha ,13.17372,100.93111
 Bizerte ,37.27442,9.87391
 Sfax ,34.74056,10.76028
 Sousse ,35.82539,10.63699
 Tunis ,36.81897,10.16579
 Aliaga ,38.79975,26.97203
 Derince ,40.75694,29.81472
 Haydarpasa ,40.99596,29.02459
 Yarimca ,39.08361,31.14194
 Montevideo ,-34.90328,-56.18816
 Port Vila ,-17.73648,168.31366
 Santo ,-15.51989,167.16235
 Apia ,-13.83333,-171.76666
 Aden ,12.77944,45.03667
 Mukalla ,14.54248,49.12424
 East London ,-33.01529,27.91162
 Port Elizabeth ,-33.96109,25.61494
 Richards Bay ,-28.78301,32.03768
